sample,timestamp_s,d_raw_m,a_raw_ms2,d_est_m,v_est_ms,a_est_ms2,v_used_ms,TTC_s,label
1365,67.8736,0.0298,0.0211,0.0225,-0.0366,0.0211,-0.0315,0.7146,COLLISION RISK
1366,67.9210,0.0298,-0.0113,0.0216,-0.0362,-0.0112,-0.0290,0.7428,COLLISION RISK
1367,67.9689,0.0396,0.0055,0.0218,-0.0337,0.0056,-0.0168,1.3011,COLLISION RISK
1368,68.0164,0.0266,0.0007,0.0208,-0.0330,0.0007,-0.0285,0.7297,COLLISION RISK
1369,68.0799,0.0396,0.0091,0.0212,-0.0302,0.0092,-0.0127,1.6661,COLLISION RISK
1370,68.1277,0.0331,-0.0113,0.0211,-0.0293,-0.0112,-0.0181,1.1659,COLLISION RISK
1371,68.3771,0.0201,0.0091,0.0197,-0.0288,0.0091,-0.0300,0.6568,COLLISION RISK
1372,68.3774,0.0201,-0.0113,0.0184,-0.0292,-0.0113,-0.0281,0.6546,COLLISION RISK
1373,68.3776,0.0201,-0.0029,0.0173,-0.0290,-0.0029,-0.0266,0.6495,COLLISION RISK
1374,68.3778,0.0201,-0.0125,0.0162,-0.0291,-0.0125,-0.0253,0.6433,COLLISION RISK
1375,68.3780,0.0201,-0.0041,0.0153,-0.0287,-0.0041,-0.0240,0.6391,COLLISION RISK
1376,68.4152,0.0201,0.0019,0.0145,-0.0280,0.0019,-0.0226,0.6441,COLLISION RISK
1377,68.4622,0.0201,-0.0101,0.0138,-0.0277,-0.0100,-0.0213,0.6492,COLLISION RISK
1378,68.5263,0.0201,0.0067,0.0132,-0.0265,0.0067,-0.0200,0.6633,COLLISION RISK
1379,68.5742,0.0201,0.0019,0.0128,-0.0255,0.0020,-0.0185,0.6895,COLLISION RISK
1380,68.6221,0.0201,0.0019,0.0124,-0.0245,0.0020,-0.0171,0.7218,COLLISION RISK
1381,68.8711,0.0201,0.0031,0.0121,-0.0233,0.0032,-0.0158,0.7644,COLLISION RISK
1382,68.8715,0.0201,0.0079,0.0118,-0.0219,0.0080,-0.0144,0.8249,COLLISION RISK
1383,68.8717,0.0201,0.0103,0.0117,-0.0204,0.0104,-0.0129,0.9105,COLLISION RISK
1384,68.8720,0.0201,-0.0209,0.0116,-0.0204,-0.0208,-0.0120,0.9722,COLLISION RISK
1385,68.8748,0.0201,0.0019,0.0116,-0.0192,0.0019,-0.0112,1.0384,COLLISION RISK
1386,68.9225,0.0201,-0.0065,0.0116,-0.0185,-0.0064,-0.0103,1.1296,COLLISION RISK
1387,68.9702,0.0201,-0.0029,0.0116,-0.0176,-0.0028,-0.0095,15.0000,COLLISION RISK
1388,69.0178,0.0201,-0.0137,0.0117,-0.0173,-0.0136,-0.0089,15.0000,COLLISION RISK
1389,69.0654,0.0201,0.0019,0.0118,-0.0161,0.0019,-0.0082,15.0000,COLLISION RISK
1390,69.1129,0.0201,-0.0053,0.0119,-0.0154,-0.0052,-0.0074,15.0000,COLLISION RISK
1391,69.3528,0.0201,-0.0029,0.0120,-0.0145,-0.0028,-0.0068,15.0000,COLLISION RISK
1392,69.3532,0.0201,-0.0041,0.0122,-0.0138,-0.0040,-0.0062,15.0000,COLLISION RISK
1393,69.3535,0.0201,-0.0053,0.0124,-0.0131,-0.0052,-0.0056,15.0000,COLLISION RISK
1394,69.3537,0.0201,0.0139,0.0126,-0.0115,0.0139,-0.0048,15.0000,COLLISION RISK
1395,69.3670,0.0201,0.0031,0.0129,-0.0104,0.0032,-0.0039,15.0000,COLLISION RISK
1396,69.4142,0.0201,0.0043,0.0131,-0.0094,0.0043,-0.0031,15.0000,COLLISION RISK
1397,69.4619,0.0201,0.0043,0.0134,-0.0083,0.0043,-0.0024,15.0000,COLLISION RISK
1398,69.5250,0.0201,0.0091,0.0138,-0.0071,0.0091,-0.0016,15.0000,COLLISION RISK
1399,69.5727,0.0201,-0.0101,0.0141,-0.0069,-0.0100,-0.0012,15.0000,COLLISION RISK
1400,69.6203,0.0201,0.0103,0.0144,-0.0056,0.0103,-0.0007,15.0000,COLLISION RISK
1401,69.8562,0.0201,0.0270,0.0148,-0.0036,0.0270,0.0003,15.0000,COLLISION RISK
1402,69.8566,0.0201,-0.0029,0.0151,-0.0032,-0.0028,0.0010,15.0000,COLLISION RISK
1403,69.8568,0.0201,0.0067,0.0155,-0.0023,0.0067,0.0014,15.0000,COLLISION RISK
1404,69.8570,0.0201,-0.0089,0.0159,-0.0022,-0.0089,0.0016,15.0000,COLLISION RISK
1405,69.8742,0.0461,0.0091,0.0189,0.0016,0.0093,0.0290,15.0000,COLLISION RISK
1406,69.9214,0.0298,0.0175,0.0201,0.0037,0.0176,0.0119,15.0000,COLLISION RISK
1407,69.9694,0.0298,0.0019,0.0213,0.0048,0.0020,0.0122,15.0000,COLLISION RISK
1408,70.0172,0.0201,0.0127,0.0214,0.0053,0.0127,0.0023,15.0000,COLLISION RISK
1409,70.0653,0.0201,-0.0101,0.0215,0.0046,-0.0101,0.0025,15.0000,COLLISION RISK
1410,70.1129,0.0298,0.0055,0.0225,0.0058,0.0055,0.0126,15.0000,COLLISION RISK
1411,70.3442,0.0266,-0.0149,0.0232,0.0055,-0.0149,0.0088,15.0000,COLLISION RISK
1412,70.3446,0.0461,-0.0029,0.0258,0.0078,-0.0028,0.0286,15.0000,COLLISION RISK
1413,70.3448,0.1933,-0.0053,0.0433,0.0261,-0.0043,0.1808,15.0000,COLLISION RISK
1414,70.3450,0.1804,0.0079,0.0585,0.0415,0.0087,0.1624,15.0000,ÉLOIGNEMENT
1415,70.3668,0.1804,0.0055,0.0728,0.0550,0.0062,0.1589,15.0000,ÉLOIGNEMENT
1416,70.4142,0.1804,-0.0077,0.0863,0.0662,-0.0070,0.1554,15.0000,ÉLOIGNEMENT
1417,70.4613,0.1804,-0.0065,0.0989,0.0759,-0.0059,0.1519,15.0000,ÉLOIGNEMENT
1418,70.5091,0.1804,-0.0161,0.1106,0.0837,-0.0156,0.1480,15.0000,ÉLOIGNEMENT
1419,70.5725,0.1804,-0.0041,0.1215,0.0907,-0.0037,0.1440,15.0000,ÉLOIGNEMENT
1420,70.6199,0.1804,0.0570,0.1317,0.0996,0.0573,0.1411,15.0000,ÉLOIGNEMENT
1421,70.8937,0.1804,0.0079,0.1412,0.1048,0.0082,0.1380,15.0000,ÉLOIGNEMENT
1422,70.8941,0.1804,-0.0161,0.1499,0.1078,-0.0159,0.1336,15.0000,ÉLOIGNEMENT
1423,70.8943,0.1804,-0.0161,0.1578,0.1097,-0.0159,0.1285,15.0000,ÉLOIGNEMENT
1424,70.8945,0.1804,0.0043,0.1650,0.1118,0.0044,0.1235,15.0000,ÉLOIGNEMENT
1425,70.8947,0.1804,-0.0185,0.1716,0.1120,-0.0184,0.1183,15.0000,ÉLOIGNEMENT
1426,70.9211,0.1804,0.0127,0.1776,0.1130,0.0127,0.1131,15.0000,ÉLOIGNEMENT
1427,70.9684,0.1804,0.0031,0.1829,0.1128,0.0031,0.1082,15.0000,ÉLOIGNEMENT
1428,71.0166,0.1804,-0.0029,0.1877,0.1118,-0.0029,0.1030,15.0000,ÉLOIGNEMENT
1429,71.0640,0.1804,0.0067,0.1920,0.1107,0.0066,0.0978,15.0000,ÉLOIGNEMENT
1430,71.1119,0.1804,-0.0029,0.1958,0.1086,-0.0030,0.0926,15.0000,ÉLOIGNEMENT
1431,71.3767,0.1804,0.0187,0.1991,0.1073,0.0185,0.0877,15.0000,ÉLOIGNEMENT
1432,71.3771,0.1804,-0.0209,0.2020,0.1036,-0.0210,0.0824,15.0000,ÉLOIGNEMENT
1433,71.3773,0.1804,-0.0053,0.2044,0.1004,-0.0055,0.0770,15.0000,ÉLOIGNEMENT
1434,71.3775,0.1804,0.0007,0.2065,0.0972,0.0005,0.0719,15.0000,ÉLOIGNEMENT
1435,71.3777,0.1804,-0.0256,0.2081,0.0925,-0.0258,0.0665,15.0000,ÉLOIGNEMENT
