d_mean,d_std,a_abs,a_std,d_diff,v_abs,ttc_mean,label,sigma_opt
0.09748,0.009729,0.007975,0.010743,0.0132,0.018445,15.0,ÉLOIGNEMENT,1.0
0.1818,0.006339,0.007795,0.01036,0.0038,0.011495,15.0,APPROCHE,0.1
0.110815,0.001742,0.00786,0.009497,0.0045,0.018085,3.7734,APPROCHE,0.1
0.18453,0.001268,0.01311,0.015254,0.0003,0.00213,15.0,STATIONNAIRE,0.1
0.171715,0.012656,0.05134,0.146099,0.0085,0.026265,1.5035,APPROCHE,2.5
0.0979545942928959,0.057345085181121976,0.01123646945327041,0.01705252266285713,0.013582675850805605,0.10749865351081146,15.0,ÉLOIGNEMENT,5.0
0.06104,0.047113,0.011215,0.015864,0.0175,0.08125,15.0,ÉLOIGNEMENT,5.0
0.18549,0.002288,0.009775,0.011121,0.0007,0.002115,15.0,STATIONNAIRE,0.1
-0.00101,0.002498,0.01103,0.014488,0.0021,0.03751,15.0,COLLISION RISK,1.0
0.068405,0.014345,0.00718,0.008999,0.0057,0.02883,1.1865,COLLISION RISK,1.0
0.20351,0.008465,0.00604,0.007253,0.0199,0.031275,15.0,STATIONNAIRE,1.0
0.13627535920371248,0.020848726662168086,0.003846839460564085,0.0068523495381275935,0.00681926446122224,0.05198091140785747,14.793420423311273,ÉLOIGNEMENT,2.5
0.1546987863001463,0.026917135398882158,0.01660582825347571,0.01861875824750928,0.008823155386177017,0.06235617964366337,14.897275876632387,ÉLOIGNEMENT,2.5
0.10618467042270163,0.04686437801762146,0.011089670797575826,0.012133943679530797,0.015404998665305352,0.09300545230810332,0.03284992921851715,COLLISION RISK,5.0
0.18508,0.011953,0.00714,0.009014,0.0329,0.04328,1.2541,APPROCHE,1.0
0.03635,0.001859,0.0139,0.016053,0.0011,0.005345,3.329,COLLISION RISK,0.1
0.1805,0.000549,0.01194,0.015861,0.0002,0.00135,15.0,STATIONNAIRE,0.1
0.078585,0.024056,0.009645,0.011925,0.0133,0.041065,15.0,ÉLOIGNEMENT,2.5
0.09122,0.001699,0.00669,0.008031,0.0013,0.019455,15.0,STATIONNAIRE,0.1
0.15020191373967898,0.029952646225934708,0.00760041130442688,0.009667297601188318,0.010586195951360662,0.06772222586522789,15.0,ÉLOIGNEMENT,2.5
0.12808242845283135,0.04889445151797299,0.008909988896834708,0.015091073937052123,0.03393516069753854,0.11013844203163618,0.8608790749841022,APPROCHE,5.0
0.13713,0.014763,0.00839,0.011,0.0036,0.040275,4.1993,APPROCHE,1.0
0.1194031363744907,0.04870453383761692,0.025609993015121336,0.05914518568170113,0.014966997016820267,0.09531725109820001,0.07030584543053006,COLLISION RISK,5.0
0.182455,0.000211,0.008225,0.010457,0.0001,0.00291,15.0,STATIONNAIRE,0.1
0.179785,0.000188,0.009395,0.011361,0.0001,0.00128,15.0,STATIONNAIRE,0.1
0.12089047982614219,0.026435287941915922,0.013613343102560082,0.015857052857701788,0.01479539087888309,0.04106187263700498,15.0,ÉLOIGNEMENT,2.5
0.042115,0.034885,0.009175,0.010844,0.0175,0.060715,15.0,ÉLOIGNEMENT,2.5
0.1074919398126678,0.04134554518610097,0.009425967891896437,0.012015432080942986,0.008725727982991104,0.09450798916823015,14.595090657265194,STATIONNAIRE,5.0
0.02992,0.003873,0.0129,0.014437,0.0023,0.007585,15.0,COLLISION RISK,0.1
0.18647,0.010336,0.00685,0.008672,0.0329,0.032075,1.6844,APPROCHE,1.0
0.185535,0.003076,0.011225,0.014681,0.0009,0.004505,15.0,STATIONNAIRE,0.1
0.193255,0.002488,0.011825,0.014111,0.0006,0.00787,15.0,STATIONNAIRE,0.1
0.14973677053806003,0.033657415862643085,0.02509822066899888,0.05894987585905266,0.014470453535036462,0.06366757734773011,0.24565829442419349,COLLISION RISK,2.5
0.15692500346634072,0.044183326467238396,0.008055572564792949,0.011696651458217246,0.028018817903802583,0.0912779006531052,0.8946996883545384,COLLISION RISK,5.0
0.098105,0.006073,0.008655,0.010768,0.011,0.033005,2.1104,APPROCHE,1.0
0.04434406194915968,0.03735017151818667,0.006387701675542761,0.0090967673222957,0.0049712851750441656,0.06036037916619884,14.763478713963188,ÉLOIGNEMENT,2.5
0.039,0.004774,0.00699,0.008506,0.0028,0.02068,15.0,COLLISION RISK,0.1
0.124765,0.010134,0.00946,0.01152,0.0034,0.03596,5.2922,APPROCHE,1.0
0.181335,0.000318,0.012305,0.01427,0.0001,0.000195,15.0,STATIONNAIRE,0.1
0.17904,0.000413,0.01175,0.014744,0.0002,0.002505,15.0,APPROCHE,0.1
0.09196,0.007877,0.0074,0.009256,0.0088,0.024285,4.0036,APPROCHE,1.0
0.171165,0.009009,0.00862,0.009078,0.0056,0.026775,15.0,ÉLOIGNEMENT,1.0
0.1454809740020275,0.050545998926734406,0.012567178464009059,0.013363108523989711,0.02177096247032139,0.12833088328638986,14.441226363412817,ÉLOIGNEMENT,5.0
0.17644,0.004395,0.00994,0.01187,0.0048,0.009545,12.748,APPROCHE,0.1
0.12882173160505678,0.04979468239605786,0.009901934412309247,0.01023887287501928,0.007959621418884563,0.11568601930918516,1.8758697759974816,APPROCHE,5.0
0.035885,0.002554,0.014445,0.016382,0.0012,0.00483,15.0,COLLISION RISK,0.1
0.04726,0.006043,0.00746,0.008892,0.0044,0.022785,15.0,ÉLOIGNEMENT,1.0
0.180885,0.005618,0.008805,0.011299,0.0038,0.0112,15.0,APPROCHE,0.1
0.098145,0.024375,0.00911,0.01054,0.006,0.0301,15.0,ÉLOIGNEMENT,1.0
0.12176525389236513,0.028725879006143307,0.012740179568878008,0.016362431219082044,0.010474862650130905,0.04478506736326455,15.0,ÉLOIGNEMENT,2.5
0.09279043349778535,0.054085292357199576,0.022917327247222705,0.05562096306361058,0.012953874452582986,0.11217515388370668,0.013359664335911764,COLLISION RISK,5.0
0.025638023099792205,0.014121862319602763,0.00879394451604852,0.011737442123568064,0.01502789484281163,0.06916615201112762,0.24793882839729717,COLLISION RISK,2.5
0.103135,0.03954,0.009815,0.012679,0.0122,0.088825,15.0,STATIONNAIRE,2.5
